cpu_percent,mem_percent,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv,ctx_switches,interrupts
58.18357076505617,49.47446517507686,15632365056.0,7298089984.0,57364232.0,68774190.0,22009188.0,15617486.0
55.00867849414408,51.06644398785345,15632414743.96511,7298106829.345831,57373224.69947925,68821135.00536947,22011248.509527624,15618922.749584405
58.93844269050346,49.12274023700012,15632465416.33744,7298120563.398164,57383542.500170186,68862242.3787791,22014860.204944123,15621827.256460857
63.31514928204013,50.57611541108288,15632529234.910376,7298141764.062719,57398520.39036511,68927502.54140839,22018125.509964928,15622714.37981354
54.529233126383325,45.81915599913864,15632510381.665468,7298165700.993786,57414454.85324024,69022077.14125848,22021219.8173168,15626462.781101014
54.5293152152541,52.139881122118815,15632644684.363691,7298210912.862158,57419936.87330864,68985637.89214294,22024639.2401402,15624240.55530062
63.59606407753696,51.50361642608667,15632502792.502104,7298200349.228839,57425452.67850166,69134239.2298661,22029019.319459427,15626333.0601256
59.53717364576455,49.04873410679543,15632670964.081335,7298174487.100263,57455204.16478426,69069472.95493571,22030064.07396334,15625188.53589292
53.352628070325245,53.477737005297215,15632725994.092604,7298295586.71386,57439226.61643118,69106379.82300025,22031715.766871423,15627543.039674984
58.41280021792983,54.31271041287968,15632872055.414349,7298232314.943987,57472788.54809061,69297863.51565088,22034353.84794903,15636121.16550139
53.382911535937694,46.677320406893074,15632867319.085268,7298287047.978644,57458470.74403297,69366383.63780077,22036130.420989808,15630919.897130474
53.37135123214872,49.21182566430136,15632760444.064075,7298334543.507882,57483714.50507624,69417845.0930439,22046519.4882838,15640319.628290476
56.90981135783017,49.19257295063811,15632846856.824902,7298341960.625104,57481506.49844503,69216294.31101382,22041308.82912314,15631009.895861551
46.13359877671101,48.6802906966734,15633040884.40124,7298421105.6705885,57492779.84325103,69363616.37285063,22053692.012208555,15632877.470767114
47.07541083743484,53.988424525795246,15633053986.57214,7298403514.220037,57493665.17751106,69589408.40288046,22051320.99357582,15637052.8288717
52.88856235379514,50.91852158368159,15633028187.383554,7298325385.781523,57554577.62093542,69530421.27608459,22050278.588948578,15639699.125352444
50.63584439832788,50.706455476068165,15633088122.593678,7298584268.973919,57500778.36678053,69402399.14460841,22062135.25772596,15645916.81900376
57.27123666297637,45.48841290677974,15633333404.559517,7298446502.344384,57509064.10341334,69702104.04965132,22054004.64163985,15645284.92912765
51.15987962239394,53.40625409062768,15633171871.336884,7298436723.379604,57620587.76837043,69545524.69338153,22068931.65636656,15642237.897610342
48.638481493323546,47.782224815439584,15633298318.663635,7298561556.915191,57591390.207456864,70065149.72119452,22068208.898151323,15645226.099902846
63.02824384460777,51.67979789079899,15633799043.317616,7298514929.094593,57468827.45205228,70083158.29248366,22063224.753109083,15645571.622481292
54.571118497567326,52.33213081387458,15633116082.646254,7298551902.960258,57550491.13295316,69951050.45953467,22077738.665561013,15643223.681467447
56.03764102343962,55.58197578751595,15633057650.599054,7298804124.239846,57504504.46914727,70173611.47504935,22081200.486982577,15644625.44461843
48.57625906893272,47.573538802642666,15633695281.622904,7298518345.03575,57550500.2281029,69939092.01052837,22091499.47546681,15659078.39885089
52.97808637737409,42.441463532537526,15633402181.665289,7298531852.692718,57453583.29602077,70157894.99865,22092781.76414892,15640323.212518925
56.25461294854934,52.05154863426108,15633535496.618065,7298604556.314001,57607382.5211153,70393620.07382552,22090328.92525908,15667116.190230835
49.94503211288849,56.90153354453256,15633461955.341686,7298749281.071626,57564851.02540361,70138019.65726653,22072529.317634284,15653810.645040303
57.57849009172836,55.21683905881831,15633644909.961992,7298426601.905924,57637466.88386701,70055289.46369115,22123243.92434035,15651728.680288224
52.69680655040598,52.12897824582388,15634212646.671389,7298374806.175193,57553225.20950258,69696895.85171041,22073537.373045,15665699.978041856
54.24153125103362,50.02509144310386,15634047673.252998,7298584852.28576,57659040.88748398,70200081.27754077,22109952.316027094,15673907.38428208
52.69146693885302,53.92136778991193,15634123723.053566,7298444895.556141,57639337.02331278,70521216.9553687,22105657.257253293,15672544.691974437
64.9613909225447,48.5793614008866,15633476025.612703,7298644135.141133,57767353.0838417,70617336.36254597,22083988.793226544,15668653.224059047
55.632513876310334,52.92907330806866,15633596686.804302,7298810383.951381,57774558.83915172,70535586.82102989,22103199.184977945,15675919.88950133
50.4114453552205,53.01641047749988,15633078160.04237,7298603010.437514,57746064.80979868,70245561.29866245,22106888.57737696,15649992.673986277
59.812724560515946,54.68062972249664,15633789866.520832,7298527423.481947,57682022.26291504,69802070.66655782,22133382.906168777,15663163.32847682
49.595781750144894,59.77898011673324,15634449902.115234,7298802118.0033,57853208.62766822,70350864.71569835,22101705.05924509,15660418.714369738
56.74431797502378,52.67724790153631,15634351156.74567,7298965241.82723,57612413.45999553,70464625.84642057,22112472.98988436,15684712.098297125
45.90164938060113,49.9731091228775,15634133096.092709,7298516413.913875,57630368.66141229,70508406.28213969,22076970.712307107,15668729.393989945
49.05906975550785,51.42327706342402,15634256581.892187,7299005828.155678,57737864.48440843,70909241.4156516,22156148.493069347,15684123.634747315
98.32729839643017,46.19277228533264,15634046390.638395,7299029358.709729,57930046.97249585,71498603.80029579,22512843.46896719,15682255.526227117
59.392332899977056,49.41586060673283,15634446959.55296,7299080801.020431,57748044.88745039,70823601.68073644,22135726.217284784,15667138.316766037
56.556841405949854,50.272152685660686,15634729066.094587,7299159772.444049,57759205.89005684,70735329.96644585,22130109.1394907,15671766.414017292
55.1217585880588,49.92773480619622,15633786383.549288,7299392406.924178,57663111.53008661,70765316.83853827,22133129.97969755,15696788.102904266
54.19448152205356,51.95706461610117,15634643904.50577,7298873424.209547,57875581.944333255,70977675.44977032,22155600.03267472,15671982.273831973
48.30739004816287,49.0327402028534,15634975327.34322,7298994089.747617,57888111.51038098,70609740.74544671,22177955.77412668,15685134.25245458
52.10077895802646,54.86309200197341,15634428260.869968,7298896285.352519,57885248.76812599,71078279.35143572,22149846.60757369,15674421.692634594
53.39680614520107,51.50062119475459,15634987378.281576,7299010438.674293,57766343.69809804,71281563.67471263,22162254.7944055,15682153.45982056
60.98561113109458,51.47209903658416,15636037943.588902,7299390209.238575,57767801.56377294,71222742.44988,22157916.951113086,15687335.116590025
57.41809144784231,50.51631585046125,15634714971.459366,7298727180.523856,57720092.26396112,71393810.12832229,22177608.754174337,15678212.722251715
46.884799223186334,51.965572051576935,15635007776.454502,7298859026.830319,57862451.50517257,71436726.32858078,22144846.548702583,15676867.429776438
57.32041984697398,53.975294794002906,15634496027.45817,7299434279.234126,57756191.26707215,70388241.65887678,22186072.76386041,15696780.100051662
53.77458859791842,48.8986093528673,15635007494.092928,7299370093.30926,57754135.516464576,71648993.78078166,22190505.746574007,15681061.517645497
52.31538999847021,49.52565053277423,15635204397.244991,7299035569.771828,57840168.16544129,71025262.28025553,22193333.96222576,15682839.7421311
89.37783349180634,50.58882191367,15635118322.440344,7299376400.530297,57842381.44543047,70843395.24360791,22599396.914530613,15682055.05501514
60.85499761247976,47.46238722958036,15634514420.527355,7299262112.277472,57846130.31888723,70877786.0129583,22166642.8838756,15697223.889649432
60.35640059558099,49.04222642083551,15635228554.97423,7299602559.517475,57965540.905652426,71762637.88575989,22180773.34219146,15715557.076967595
51.503912383886814,50.07133737936602,15635983885.72568,7299230846.686272,57933085.35384083,71449548.04075408,22138804.42274479,15726795.681090046
54.15393812074393,54.12316754213818,15635470778.385773,7299522289.152453,57901382.21252173,70665467.79312831,22225643.22593045,15690572.800729506
57.35631715701782,52.28768398700578,15635823008.569662,7300016167.454042,57965461.49968413,71951451.93281153,22182831.98052844,15741901.407803964
60.5777256356118,52.08076973410263,15635175218.937693,7299446423.250739,57837231.80914965,70874821.20282869,22194563.87268434,15688202.72396549
53.30412881077356,54.05269388650392,15635814996.143654,7299304782.449738,57976865.43486916,71858082.81511092,22171877.866808183,15726989.8734199
100.0,51.08788463480181,15635585409.381311,7299530330.330492,57992605.50412705,71969674.34466057,22659731.19877139,15695778.954891518
87.40570986266599,52.67139454978667,15634875491.347591,7299216746.933957,57797854.18943967,72423247.79065093,22678345.44215875,15694286.827180415
49.71896687959665,51.19033474120251,15635715724.233025,7300102193.82724,58119689.41305067,73046651.41547412,22205092.93191046,15697910.108636774
59.762629111971,52.296087048198885,15634930370.1354,7299427606.732062,57891408.48573095,71100797.15142365,22222737.72200812,15712479.004166735
62.48120014285412,49.75172402716525,15635203683.821323,7299301280.670927,58025972.27389684,71990081.99355902,22209446.22506959,15726295.457335155
55.33994939209833,44.18354852517072,15635790012.682814,7299134206.628344,58177934.34975065,71891808.70527081,22218629.892535985,15729749.387150517
60.71766448946012,51.09716251344109,15635914209.663164,7299797552.764188,58158272.68553366,72414802.28959385,22198897.61644817,15699011.901191508
57.50818012523818,55.76824440829982,15634956377.923748,7299744827.720362,58048901.34084536,72320844.76423486,22230060.451252345,15699296.95053477
96.88842949134344,54.27864620672478,15636542306.182116,7299298396.741862,58004207.13760228,71980933.09251173,22724707.34076181,15702011.579047374
57.50697802754208,54.39619245377351,15636265460.39481,7299691741.970793,58196883.66720058,71965558.4679724,22243855.630485363,15720147.557549903
63.39018283232985,55.20839216541865,15635414698.810717,7298974446.631285,58170038.68684883,71531509.89281933,22250926.73703298,15719509.685630737
55.52086980445024,51.76597277288431,15634857994.946556,7299596573.407026,57995187.43711364,73085450.33933268,22235772.59037504,15704962.210019292
63.52321827907004,52.09194712221679,15635909275.65727,7299715240.068508,57978177.52753776,72759409.05256766,22173322.83995961,15732890.320899986
42.60127447955128,49.64704431369695,15635735057.651745,7300201696.029537,57797523.43310899,73153338.4663684,22192535.338366643,15778715.027545044
59.80951252187612,50.55178143191885,15636199911.34279,7299300926.948976,58137336.77625254,72291392.89764336,22251245.842524894,15718629.902108708
56.13523534119086,53.34731344931343,15635889087.337524,7299124210.001055,58111661.9427572,72074995.04379223,22236772.31602552,15721601.93047656
54.20496324767066,55.11165331150645,15634669314.217226,7299285244.235044,58309205.47169496,71793887.3986955,22257121.95112921,15745914.182274492
