cpu_percent,mem_percent,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv,ctx_switches,interrupts,anomaly_flag,anomaly_score
78.7,43.5,614920210944,2640544768,5087306,5087306,10020911,4524665,-1,-0.11448768889800431
66.3,43.8,614987373056,2678805504,5088860,5088860,10025151,4546349,-1,-0.1072160560633314
51.3,43.6,615032855040,2687419392,5099765,5099765,10032186,4555515,-1,-0.09763382586718494
54.1,43.5,615040285184,2729473024,5114442,5114442,10036030,4579256,-1,-0.09998972115772953
64.4,43.3,615062014464,2774021120,5116972,5116972,10038096,4601031,-1,-0.10675560378964166
60.1,42.9,615068826112,2823312384,5118526,5118526,10039467,4615923,-1,-0.10583563332264534
56.6,43.2,615091747328,2823836672,5121280,5121280,10042539,4622139,-1,-0.10227217377051012
65.5,43.0,615136963072,2858464256,5125482,5125482,10052405,4648643,-1,-0.1072160560633314
64.8,43.6,615160912384,2858488832,5127139,5127139,10059239,4658310,-1,-0.10629546294629233
66.3,44.0,615180196352,2874299392,5128693,5128693,10061905,4669765,-1,-0.10675560378964166
67.1,44.0,615225641472,2888086528,5130247,5130247,10069822,4685841,-1,-0.10675560378964166
62.0,44.8,615243917824,2893227008,5132305,5132305,10076402,4698383,-1,-0.10262552244506062
68.8,44.6,615301208576,2903561216,5136435,5136435,10086175,4712636,-1,-0.10537611470820485
61.0,44.0,615326394880,2919773184,5138349,5138349,10091941,4728041,-1,-0.10445800966567176
70.0,43.9,615367363072,2992673792,5142351,5142351,10102880,4744837,-1,-0.10767681997814249
61.4,43.5,615421372928,2994312192,5150175,5150175,10106190,4749636,-1,-0.10629546294629233
40.5,43.7,615450016256,2994762752,5156289,5156289,10108804,4753415,-1,-0.09672619039284214
26.2,44.0,615468214784,2994762752,5160131,5160131,10111586,4755968,-1,-0.09459507330747408
27.3,42.6,615482620416,3062060032,5161685,5161685,10114679,4760005,-1,-0.09913108978605667
36.6,41.6,615499115008,3086844928,5163719,5163719,10120550,4778958,-1,-0.10310550643465843
48.4,39.3,615585438208,3094488064,5166233,5166233,10130191,4788323,-1,-0.09945278553656633
27.6,39.5,615595727360,3094488064,5167787,5167787,10133004,4792694,-1,-0.1004978900990805
26.0,39.9,615607167488,3094488064,5169340,5169340,10134744,4795531,-1,-0.09913108978605667
28.0,40.6,615619926528,3242804224,5170894,5170894,10136976,4798312,-1,-0.10095410705670671
26.0,41.1,615631518208,3242804224,5172448,5172448,10138582,4800565,-1,-0.09913108978605667
24.9,41.1,615649274368,3242804224,5174002,5174002,10141262,4802648,-1,-0.09913108978605667
29.6,41.6,615672105472,3242804224,5175556,5175556,10146255,4806041,-1,-0.10095410705670671
25.8,41.7,615697213952,3242804224,5177110,5177110,10150573,4808923,-1,-0.09913108978605667
41.5,39.6,615712700928,3285672960,5178664,5178664,10153622,4832058,-1,-0.10264783436196578
25.7,41.4,615732406784,3285672960,5180339,5180339,10156900,4835172,-1,-0.09913108978605667
38.5,39.3,615777581568,3321398272,5181893,5181893,10164428,4852822,-1,-0.10127667460614842
27.5,40.5,615815805440,3321398272,5183447,5183447,10175507,4858301,-1,-0.09913108978605667
26.2,40.6,615869475328,3321398272,5185001,5185001,10185620,4863573,-1,-0.09913108978605667
38.2,38.7,615906273792,3332183040,5186555,5186555,10190463,4871489,-1,-0.10127667460614842
26.7,39.6,615916796416,3332199424,5188109,5188109,10192149,4873613,-1,-0.09913108978605667
